trip_scheduledArrival,trip_realtimeArrival,trip_arrivalDelay,trip_scheduledDeparture,trip_realtimeDeparture,trip_departureDelay,trip_realtime,trip_realtimeState,trip_serviceDay,trip_trip.gtfsId,trip_trip.route.shortName,stop_gtfsId,stop_name
45720,45720,0,45720,45720,0,False,SCHEDULED,1631912400,HSL:1094_20210917_La_1_1242,94,HSL:1453182,Itäkeskus (M)
46500,46500,0,46500,46500,0,False,SCHEDULED,1631912400,HSL:1095_20210917_La_1_1255,95,HSL:1453182,Itäkeskus (M)
46620,46620,0,46620,46620,0,False,SCHEDULED,1631912400,HSL:1094_20210917_La_1_1257,94,HSL:1453182,Itäkeskus (M)
47400,47400,0,47400,47400,0,False,SCHEDULED,1631912400,HSL:1095_20210917_La_1_1310,95,HSL:1453182,Itäkeskus (M)
45600,45600,0,45600,45600,0,False,SCHEDULED,1631912400,HSL:1500_20210917_La_1_1240,500,HSL:1453184,Itäkeskus (M)
46500,46500,0,46500,46500,0,False,SCHEDULED,1631912400,HSL:1500_20210917_La_1_1255,500,HSL:1453184,Itäkeskus (M)
47400,47400,0,47400,47400,0,False,SCHEDULED,1631912400,HSL:1500_20210917_La_1_1310,500,HSL:1453184,Itäkeskus (M)
48300,48300,0,48300,48300,0,False,SCHEDULED,1631912400,HSL:1500_20210917_La_1_1325,500,HSL:1453184,Itäkeskus (M)
49200,49200,0,49200,49200,0,False,SCHEDULED,1631912400,HSL:1500_20210917_La_1_1340,500,HSL:1453184,Itäkeskus (M)
46140,46140,0,46140,46140,0,False,SCHEDULED,1631912400,HSL:1092_20210917_La_1_1249,92,HSL:1453186,Itäkeskus (M)
47040,47040,0,47040,47040,0,False,SCHEDULED,1631912400,HSL:1092_20210917_La_1_1304,92,HSL:1453186,Itäkeskus (M)
47940,47940,0,47940,47940,0,False,SCHEDULED,1631912400,HSL:1092_20210917_La_1_1319,92,HSL:1453186,Itäkeskus (M)
48840,48840,0,48840,48840,0,False,SCHEDULED,1631912400,HSL:1092_20210917_La_1_1334,92,HSL:1453186,Itäkeskus (M)
49740,49740,0,49740,49740,0,False,SCHEDULED,1631912400,HSL:1092_20210917_La_1_1349,92,HSL:1453186,Itäkeskus (M)
45660,45651,-9,45660,45665,5,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1229,550,HSL:2222268,Tietäjä
46260,46260,0,46260,46260,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1239,550,HSL:2222268,Tietäjä
46860,46860,0,46860,46860,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1249,550,HSL:2222268,Tietäjä
47460,47460,0,47460,47460,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1259,550,HSL:2222268,Tietäjä
48060,48060,0,48060,48060,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_2_1309,550,HSL:2222268,Tietäjä
45540,45517,-23,45540,45517,-23,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1156,52,HSL:2222201,Otaniemensilta
46740,45675,-1065,46740,45675,-1065,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1216,52,HSL:2222201,Otaniemensilta
46140,46142,2,46140,46142,2,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1206,52,HSL:2222201,Otaniemensilta
45960,46189,229,45960,46193,233,True,UPDATED,1631912400,HSL:2510_20210917_La_1_1213,510,HSL:2222201,Otaniemensilta
47340,46265,-1075,47340,46265,-1075,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1226,52,HSL:2222201,Otaniemensilta
87360,87360,0,87360,87360,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2400,108N,HSL:2222203,Otaranta
90060,90060,0,90060,90060,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2445,108N,HSL:2222203,Otaranta
92760,92760,0,92760,92760,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2530,108N,HSL:2222203,Otaranta
95460,95460,0,95460,95460,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2615,108N,HSL:2222203,Otaranta
98160,98160,0,98160,98160,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_1_2700,108N,HSL:2222203,Otaranta
45720,45824,104,45720,45830,110,True,UPDATED,1631912400,HSL:2510_20210917_La_2_1232,510,HSL:2222202,Otaniemensilta
45840,45840,0,45840,45840,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1240,52,HSL:2222202,Otaniemensilta
46440,46440,0,46440,46440,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1250,52,HSL:2222202,Otaniemensilta
